"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"1914",592450,"Aaron Judge","1914","100.0","0.272","0.267","0.360","0.540","0.387","0.401","0.281","103","378","95.9","11.4","2274","88.7","88.31","295","803","1108","-0.4","5.98","107","154","123","147","309","332","294"
"1911",593934,"Miguel Sano","1911","100.0","0.247","0.329","0.319","0.576","0.384","0.363","0.234","94","380","94.4","15.9","2257","88.6","88.43","318","834","1074","-0.2","6.06","107","152","121","146","304","329","298"
"2115",443558,"Nelson Cruz","2115","100.0","0.311","0.328","0.351","0.639","0.423","0.418","0.295","141","454","93.7","13.1","2279","88.6","88.38","319","978","1130","-0.2","6.04","106","151","122","145","308","330","297"
"2119",614177,"Franmil Reyes","2119","100.0","0.249","0.263","0.279","0.512","0.343","0.360","0.264","123","494","93.3","9.5","2273","88.6","88.27","399","1092","1027","-0.3","5.99","109","152","121","147","307","327","299"
"2285",592885,"Christian Yelich","2285","100.0","0.329","0.342","0.355","0.671","0.448","0.420","0.313","161","489","93.1","11.2","2225","88.8","88.57","291","1032","1244","-0.2","6.10","117","150","122","152","300","324","306"
"1308",608336,"Joey Gallo","1308","100.0","0.253","0.344","0.368","0.598","0.406","0.395","0.229","61","241","93.0","20.3","2284","88.6","88.10","222","532","772","-0.5","5.96","117","167","137","154","306","331","306"
"2742",518626,"Josh Donaldson","2742","100.0","0.259","0.262","0.292","0.521","0.382","0.387","0.269","142","549","92.9","13.3","2242","89.4","89.15","360","1203","1529","-0.2","6.02","107","152","119","146","311","328","299"
"2219",660162,"Yoan Moncada","2219","100.0","0.315","0.233","0.406","0.548","0.384","0.362","0.291","161","511","92.8","12.0","2210","88.1","87.86","326","1050","1162","-0.2","6.03","111","150","116","146","297","323","299"
"1683",660271,"Shohei Ohtani","1683","100.0","0.286","0.219","0.354","0.505","0.357","0.349","0.282","110","384","92.8","6.8","2229","88.4","87.85","227","829","852","-0.5","5.92","113","150","123","150","297","325","305"
"2539",656941,"Kyle Schwarber","2539","100.0","0.250","0.282","0.276","0.531","0.362","0.375","0.267","132","529","92.7","15.0","2251","88.7","88.32","307","1093","1433","-0.4","5.98","119","163","119","153","297","326","306"
"2750",624585,"Jorge Soler","2750","100.0","0.265","0.304","0.294","0.569","0.384","0.392","0.277","156","589","92.6","15.4","2259","88.0","87.67","394","1212","1528","-0.3","5.97","106","151","120","145","305","330","303"
"2805",656305,"Matt Chapman","2805","100.0","0.249","0.257","0.270","0.506","0.359","0.360","0.255","145","583","92.6","16.3","2291","88.7","88.27","279","1177","1617","-0.4","5.95","106","151","119","145","304","325","297"
"2442",605137,"Josh Bell","2442","100.0","0.277","0.292","0.288","0.569","0.383","0.381","0.283","146","527","92.3","13.0","2200","88.6","88.28","297","1175","1262","-0.3","5.99","115","156","122","150","301","326","302"
"719",628356,"Jung Ho Kang","719","100.0","0.169","0.227","0.184","0.395","0.260","0.290","0.215","29","172","92.2","13.7","2274","87.7","87.27","125","348","370","-0.4","5.96","109","151","117","146","302","322","295"
"1494",670541,"Yordan Alvarez","1494","100.0","0.313","0.342","0.366","0.655","0.438","0.410","0.289","98","313","92.2","13.4","2243","88.7","88.24","162","646","846","-0.5","5.97","113","160","128","151","292","330","303"
"672",455104,"Chris Iannetta","672","100.0","0.222","0.194","0.306","0.417","0.307","0.312","0.231","32","144","92.1","8.7","2275","88.0","87.79","100","289","382","-0.2","5.95","109","152","119","147","308","331","297"
"2735",547989,"Jose Abreu","2735","100.0","0.284","0.219","0.320","0.503","0.349","0.359","0.283","180","634","92.1","10.9","2254","88.5","88.24","343","1354","1368","-0.3","6.02","106","150","119","146","305","328","296"
"2636",646240,"Rafael Devers","2636","100.0","0.311","0.244","0.339","0.555","0.382","0.360","0.295","201","647","92.1","10.3","2230","88.6","88.29","348","1447","1182","-0.3","6.02","114","150","118","150","287","327","308"
"2288",621566,"Matt Olson","2288","100.0","0.267","0.277","0.300","0.545","0.373","0.386","0.276","129","483","91.9","18.3","2241","88.8","88.42","292","1034","1237","-0.4","5.96","115","166","126","149","299","327","303"
"657",645801,"Mike Ford","657","100.0","0.259","0.301","0.243","0.559","0.378","0.365","0.284","37","143","91.9","15.6","2212","88.1","87.64","58","263","390","-0.5","5.95","118","166","132","153","297","325","298"
"2793",467793,"Carlos Santana","2793","100.0","0.281","0.234","0.293","0.515","0.384","0.367","0.268","161","573","91.8","11.8","2207","88.5","88.13","224","1099","1688","-0.4","5.98","113","159","124","148","295","324","300"
"2260",542303,"Marcell Ozuna","2260","100.0","0.241","0.231","0.257","0.472","0.340","0.382","0.288","117","485","91.8","13.5","2282","88.5","88.26","280","1015","1244","-0.2","6.07","107","152","119","147","308","328","302"
"2463",518934,"DJ LeMahieu","2463","100.0","0.327","0.191","0.349","0.518","0.379","0.379","0.322","197","602","91.7","6.7","2254","89.4","88.96","180","1122","1339","-0.4","6.00","111","153","118","150","308","322","284"
"1310",650490,"Yandy Diaz","1310","100.0","0.267","0.208","0.288","0.476","0.345","0.357","0.283","82","307","91.7","5.7","2260","88.7","88.03","131","588","721","-0.7","5.91","109","153","121","149","307","328","292"
"669",605233,"Derek Fisher","669","100.0","0.185","0.185","0.244","0.370","0.288","0.294","0.213","27","146","91.6","8.4","2209","88.0","87.40","96","248","420","-0.6","5.89","113","149","109","150","289","323","302"
"1397",435062,"Howie Kendrick","1397","100.0","0.344","0.228","0.359","0.572","0.405","0.419","0.336","115","334","91.6","11.0","2276","88.6","88.26","113","663","730","-0.3","6.00","107","150","116","147","307","322","294"
"659",543543,"Brad Miller","659","100.0","0.260","0.305","0.281","0.565","0.372","0.344","0.243","40","154","91.6","16.8","2280","89.6","89.15","92","300","357","-0.4","5.97","114","149","113","150","291","320","300"
"523",446263,"Lucas Duda","523","100.0","0.171","0.152","0.197","0.324","0.248","0.311","0.223","18","105","91.5","22.5","2188","88.2","87.88","63","234","288","-0.3","6.01","114","165","132","152","296","323","302"
"748",501896,"David Freese","748","100.0","0.315","0.284","0.374","0.599","0.420","0.382","0.288","51","162","91.5","11.0","2236","87.8","87.29","96","335","412","-0.5","5.92","108","150","119","147","303","322","294"
"1146",488771,"Jason Castro","1146","100.0","0.232","0.203","0.307","0.435","0.331","0.364","0.249","55","237","91.5","14.0","2283","89.3","88.94","192","518","625","-0.4","6.03","113","151","120","150","292","322","298"
"857",488671,"Alex Avila","857","100.0","0.207","0.213","0.287","0.421","0.327","0.357","0.229","34","164","91.4","9.4","2301","88.0","87.45","113","302","554","-0.6","5.91","117","170","133","151","298","326","310"
"1380",669374,"Keston Hiura","1380","100.0","0.303","0.268","0.402","0.570","0.393","0.360","0.266","95","314","91.4","16.0","2262","89.3","89.24","256","708","664","-0.1","6.09","107","150","118","146","307","325","295"
"1942",542454,"Danny Santana","1942","100.0","0.283","0.251","0.353","0.534","0.357","0.338","0.275","134","474","91.4","13.5","2207","88.2","87.71","347","1080","852","-0.5","5.96","109","148","108","148","295","320","297"
"1803",605204,"J.D. Davis","1803","100.0","0.307","0.220","0.355","0.527","0.378","0.383","0.308","126","410","91.4","10.6","2254","89.2","88.86","248","882","918","-0.3","6.05","107","152","118","147","305","326","296"
"751",475582,"Ryan Zimmerman","751","100.0","0.257","0.158","0.297","0.415","0.317","0.321","0.248","44","171","91.4","9.7","2298","89.3","89.03","81","305","446","-0.3","6.02","107","151","120","147","309","325","296"
"2249",641857,"Ryan McMahon","2249","100.0","0.250","0.200","0.323","0.450","0.333","0.322","0.245","120","480","91.4","8.4","2248","89.2","89.09","362","1115","1132","-0.1","5.96","115","152","119","151","300","330","311"
"1245",452254,"Hunter Pence","1245","100.0","0.297","0.255","0.333","0.552","0.382","0.358","0.284","85","286","91.4","10.1","2255","87.9","87.38","201","639","604","-0.5","5.95","108","150","119","146","303","322","294"
"833",434778,"Kendrys Morales","833","100.0","0.194","0.059","0.217","0.253","0.265","0.364","0.273","33","170","91.3","9.5","2181","88.1","87.68","59","329","500","-0.4","5.97","115","166","133","151","299","326","301"
"1306",592444,"JaCoby Jones","1306","100.0","0.235","0.195","0.304","0.430","0.315","0.323","0.250","70","298","91.3","13.7","2271","88.2","87.72","160","608","686","-0.5","5.92","106","151","109","147","300","323","287"
"2788",665742,"Juan Soto","2788","100.0","0.282","0.266","0.312","0.548","0.398","0.407","0.285","153","542","91.3","12.0","2225","88.7","88.42","273","1136","1648","-0.3","6.04","114","148","115","151","300","324","306"
"2707",425783,"Shin-Soo Choo","2707","100.0","0.265","0.190","0.333","0.455","0.357","0.356","0.260","149","563","91.3","8.7","2243","88.2","87.72","335","1136","1539","-0.5","5.95","116","156","114","151","294","323","305"
"700",663993,"Nate Lowe","700","100.0","0.263","0.191","0.340","0.454","0.332","0.327","0.258","40","152","91.3","13.0","2232","88.3","87.87","85","313","385","-0.4","5.99","113","157","126","151","294","330","307"
"2787",547180,"Bryce Harper","2787","100.0","0.260","0.250","0.313","0.510","0.370","0.387","0.279","149","573","91.3","13.1","2242","88.8","88.53","458","1346","1423","-0.3","6.06","116","157","124","153","299","328","303"
"2463",502110,"J.D. Martinez","2463","100.0","0.304","0.252","0.342","0.557","0.391","0.400","0.309","175","575","91.3","12.5","2285","88.8","88.41","326","1219","1240","-0.4","6.00","107","152","121","147","298","330","303"
"2418",592518,"Manny Machado","2418","100.0","0.256","0.206","0.274","0.462","0.339","0.342","0.266","150","587","91.2","13.0","2291","89.4","89.03","273","1128","1282","-0.4","6.01","109","152","119","147","309","329","300"
"1875",460075,"Ryan Braun","1875","100.0","0.285","0.220","0.325","0.505","0.358","0.342","0.273","131","459","91.2","7.1","2236","89.5","89.37","240","965","900","-0.1","6.11","108","151","118","147","307","325","296"
"1864",650391,"Eloy Jimenez","1864","100.0","0.267","0.246","0.308","0.513","0.348","0.349","0.268","125","468","91.2","9.3","2264","87.6","87.39","305","931","929","-0.2","6.03","107","151","119","145","304","326","295"
"1872",455976,"Nick Markakis","1872","100.0","0.285","0.135","0.310","0.420","0.335","0.349","0.300","118","414","91.2","7.3","2211","89.6","89.42","104","783","1087","-0.2","6.03","116","149","118","151","295","323","304"
"1923",606192,"Teoscar Hernandez","1923","100.0","0.230","0.242","0.293","0.472","0.329","0.311","0.219","96","417","91.1","15.5","2258","88.6","88.20","316","909","1013","-0.4","6.00","105","152","117","145","300","326","295"
"1311",664040,"Brandon Lowe","1311","100.0","0.270","0.243","0.377","0.514","0.359","0.346","0.244","80","296","91.1","18.7","2218","87.6","87.02","268","710","595","-0.6","5.94","113","151","118","148","291","324","303"
"2020",596847,"Ji-Man Choi","2020","100.0","0.261","0.198","0.303","0.459","0.351","0.366","0.263","107","410","91.1","12.6","2221","88.3","87.77","220","862","1146","-0.5","5.99","114","160","121","151","291","326","304"
"2253",641531,"Hunter Dozier","2253","100.0","0.279","0.243","0.339","0.522","0.364","0.337","0.261","146","523","91.1","16.7","2256","88.0","87.70","272","1006","1244","-0.3","5.95","107","151","119","146","305","326","299"
"2413",572233,"Christian Walker","2413","100.0","0.259","0.217","0.312","0.476","0.349","0.362","0.263","137","529","91.1","14.8","2305","89.2","88.74","338","1175","1232","-0.5","5.98","108","153","118","147","309","330","301"
"1502",641598,"Mitch Garver","1502","100.0","0.273","0.357","0.277","0.630","0.410","0.380","0.256","85","311","91.1","15.3","2260","88.3","87.97","126","525","972","-0.3","6.04","106","151","120","146","301","324","292"
"530",594807,"Adam Duvall","530","100.0","0.267","0.300","0.306","0.567","0.366","0.329","0.210","32","120","91.0","26.2","2215","88.1","87.71","73","258","270","-0.4","5.97","104","151","118","144","305","326","294"
"788",592122,"Tyler Austin","788","100.0","0.188","0.221","0.253","0.409","0.302","0.317","0.199","29","154","91.0","14.2","2267","87.7","87.13","132","335","453","-0.6","5.85","109","153","118","146","306","327","298"
"2909",605141,"Mookie Betts","2909","100.0","0.295","0.229","0.309","0.524","0.384","0.408","0.311","176","597","91.0","19.1","2262","89.2","88.82","162","1115","1790","-0.4","6.00","107","152","119","145","293","327","300"
"1936",543068,"C.J. Cron","1936","100.0","0.253","0.216","0.277","0.469","0.329","0.366","0.278","116","458","91.0","12.7","2294","88.6","88.17","246","972","954","-0.4","5.99","108","152","120","146","302","326","295"
"1879",596142,"Gary Sanchez","1879","100.0","0.232","0.293","0.244","0.525","0.351","0.363","0.247","92","396","91.0","19.1","2282","88.0","87.68","267","826","1044","-0.3","5.98","108","154","122","147","305","330","299"
