last_name, first_name,year,player_age,b_ab,b_total_hits,b_single,b_double,b_triple,b_home_run,batting_avg,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,
Pujols, Albert,2019,39,491,120,75,22,0,23,.244,.253,.432,.308,.319,.315,.175,88.3,12.3,6.0,
Cabrera, Miguel,2019,36,493,139,106,21,0,12,.282,.271,.440,.318,.330,.338,.167,90.3,11.8,6.4,
Mathis, Jeff,2019,36,228,36,25,9,0,2,.158,.163,.223,.190,.193,.213,.058,86.1,16.4,1.4,
Choo, Shin-Soo,2019,37,563,149,92,31,2,24,.265,.258,.467,.353,.354,.366,.206,91.9,8.7,8.8,
Wainwright, Adam,2019,38,50,8,5,3,0,0,.160,.182,.249,.177,.207,.217,.064,88.1,14,0.0,
Greinke, Zack,2019,36,50,14,6,4,1,3,.280,.255,.467,.362,.320,.284,.201,88.9,5.4,11.9,
Molina, Yadier,2019,37,419,113,79,24,0,10,.270,.274,.440,.303,.323,.318,.164,87.4,13.7,3.8,
Cano, Robinson,2019,37,390,100,59,28,0,13,.256,.278,.448,.309,.326,.327,.167,90.9,7.1,7.4,
Encarnacion, Edwin,2019,36,418,102,50,18,0,34,.244,.242,.518,.362,.361,.345,.274,90.1,22.4,12.9,
Jones, Adam,2019,34,485,126,84,25,1,16,.260,.255,.426,.308,.312,.310,.170,86.1,13.2,6.7,
Martin, Russell,2019,36,209,46,35,5,0,6,.220,.218,.345,.295,.302,.337,.123,88.2,10.1,5.3,
Granderson, Curtis,2019,38,317,58,28,17,1,12,.183,.215,.388,.275,.304,.312,.171,88.8,18.9,7.2,
Ramirez, Hanley,2019,36,49,9,6,1,0,2,.184,.210,.353,.278,.294,.321,.141,88.9,6.3,6.3,
Sanchez, Anibal,2019,35,52,6,6,0,0,0,.115,.134,.154,.100,.125,.134,.013,78.6,-1.5,0.0,
Morales, Kendrys,2019,36,170,33,28,2,1,2,.194,.268,.439,.264,.360,.379,.168,91.3,9.1,6.9,
Kendrick, Howie,2019,36,334,115,74,23,1,17,.344,.330,.615,.400,.415,.387,.283,91.7,10.6,11.4,
Kinsler, Ian,2019,37,258,56,35,12,0,9,.217,.210,.308,.277,.255,.271,.095,84.3,17.1,1.5,
McCann, Brian,2019,35,277,69,48,9,0,12,.249,.240,.405,.312,.313,.320,.162,88.8,10.9,5.7,
Walker, Neil,2019,34,337,88,60,19,1,8,.261,.270,.432,.319,.338,.354,.160,86.2,11.5,6.5,
