"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"109",596019,"Francisco Lindor","109","100.0","0.318","0.327","0.257","0.645","0.391","0.355","0.323","34","107","91.0","10.6","2160","89.5","89.32","0","109","0","-0.2","6.03","111","151","111","149","292","319","292"
"104",514888,"Jose Altuve","104","100.0","0.363","0.363","0.298","0.725","0.446","0.355","0.336","37","102","85.8","5.2","2267","88.5","88.19","0","104","0","-0.3","6.01","104","150","109","144","296","324","290"
"101",642708,"Amed Rosario","101","100.0","0.406","0.109","0.400","0.515","0.394","0.335","0.353","41","101","88.3","5.3","2327","86.9","86.55","0","101","0","-0.4","5.94","106","150","107","146","304","320","288"
"101",518934,"DJ LeMahieu","101","100.0","0.390","0.320","0.326","0.710","0.455","0.460","0.393","39","100","92.8","9.4","2219","87.5","87.12","0","101","0","-0.4","5.97","110","152","121","148","311","322","285"
"101",453568,"Charlie Blackmon","101","100.0","0.370","0.290","0.326","0.660","0.426","0.413","0.372","37","100","89.5","16.0","2203","89.0","88.98","0","101","0","0.0","5.98","121","156","121","151","306","335","309"
"100",645277,"Ozzie Albies","100","100.0","0.360","0.260","0.333","0.620","0.409","0.364","0.336","36","100","90.1","20.4","2231","89.7","89.22","0","100","0","-0.5","5.90","115","156","118","146","296","321","294"
"99",547989,"Jose Abreu","99","100.0","0.433","0.289","0.387","0.722","0.475","0.421","0.394","42","97","92.1","7.9","2194","87.6","87.38","0","99","0","-0.2","6.00","105","148","119","146","305","327","292"
"99",664058,"David Fletcher","99","100.0","0.306","0.092","0.306","0.398","0.301","0.355","0.373","30","98","83.3","5.1","2300","88.0","87.65","0","99","0","-0.4","5.93","107","151","112","145","290","311","280"
"99",593160,"Whit Merrifield","99","100.0","0.351","0.134","0.323","0.485","0.349","0.351","0.347","34","97","87.0","13.5","2252","89.5","89.44","0","99","0","-0.1","6.06","107","149","111","146","297","318","287"
"98",516782,"Starling Marte","98","100.0","0.398","0.245","0.366","0.643","0.438","0.442","0.392","39","98","90.6","7.4","2217","90.1","90.16","0","98","0","0.1","6.12","107","151","111","145","308","322","295"
"98",607208,"Trea Turner","98","100.0","0.375","0.188","0.340","0.563","0.388","0.328","0.316","36","96","89.1","10.2","2248","87.6","87.46","0","98","0","-0.1","6.04","108","150","108","145","303","323","293"
"96",462101,"Elvis Andrus","96","100.0","0.287","0.149","0.266","0.436","0.299","0.343","0.322","27","94","88.9","3.2","2274","88.2","87.85","0","96","0","-0.4","6.01","110","150","116","146","308","320","284"
"96",641313,"Tim Anderson","96","100.0","0.458","0.208","0.441","0.667","0.477","0.367","0.374","44","96","88.9","4.2","2234","87.8","87.56","0","96","0","-0.2","5.97","105","149","114","146","301","321","285"
"96",500871,"Eduardo Escobar","96","100.0","0.269","0.398","0.174","0.667","0.370","0.392","0.309","25","93","89.3","19.4","2220","89.5","89.41","0","96","0","-0.1","6.11","110","152","120","147","300","329","302"
"95",516416,"Jean Segura","95","100.0","0.330","0.117","0.326","0.447","0.326","0.344","0.330","31","94","90.4","6.7","2295","89.1","88.86","0","95","0","-0.2","6.06","110","150","109","147","299","322","286"
"95",516770,"Starlin Castro","95","100.0","0.394","0.298","0.341","0.691","0.450","0.449","0.405","37","94","89.8","11.0","2275","89.6","89.17","0","95","0","-0.4","5.93","106","152","116","144","310","324","293"
